Spell Name,attackRoll,diceRoll,spellSave,n-equation,c-thresholds,repeatEffect
Acid Splash,,cd6 [acid],dexterity,,"5-2,11-3,17-4",
Aid,,5*N [hp],,2+s-2,,
Alarm,,,,,,
Alter Self,,,,,,
Animal Friendship,,,wisdom,,,
Animal Messenger,,,,,,
Animal Shapes,,,,,,
Animate Dead,,,,,,
Animate Objects,,,,,,
Antilife Shell,,,,,,
Antimagic Field,,,,,,
Antipathy/Sympathy,,,wisdom,,,
Arcane Eye,,,,,,
Arcane Gate,,,,,,
Arcane Lock,,,,,,
Armor of Agathys,,5*N [temp hp],,s,,
Armor of Agathys,,5*N [cold],,s,,
Arms of Hadar,,Nd6 [necrotic],strength,s,,
Astral Projection,,,,,,
Augury,,,,,,
Aura of Life,,,,,,
Aura of Purity,,,,,,
Aura of Vitality,,2d6 [hp],,,,
Awaken,,,,,,
Bane,,,charisma,,,
Banishing Smite,,5d10 [force],,,,
Banishment,,,charisma,,,
Barkskin,,,,,,
Beacon of Hope,,,,,,
Beast Sense,,,,,,
Bestow Curse,,,wisdom,,,
Bigby's Hand,,,,,,
Blade Barrier,,6d10 [slashing],dexterity,,,
Blade Ward,,,,,,
Bless,,,,,,
Blight,,basicNd8 [necrotic],constitution,8,,
Blinding Smite,,3d8 [radiant],constitution,,,
Blindness/Deafness,,,constitution,,,
Blink,,,,,,
Blur,,,,,,
Branding Smite,,basicNd6 [radiant],,2,,
Burning Hands,,basicNd6 [fire],dexterity,3,,
Call Lightning,,,,,,
Calm Emotions,,,,,,
Chain Lightning,,10d8 [lightning],dexterity,,,
Charm Person,,,,,,
Chill Touch,TRUE,cd8 [necrotic],,,,
Chromatic Orb,TRUE,basicNd8,,3,,
Circle of Death,,Nd8 [necrotic],constitution,8 + 2 * (s - 6),,
Circle of Power,,,,,,
Clairvoyance,,,,,,
Clone,,,,,,
Cloud of Daggers,,Nd4 [slashing],,2 + 2 * (s - 3),,
Cloudkill,,basicNd8 [poison],constitution,5,,
Color Spray,,Nd10 [blinding],,6 + 2 * s,,
Command,,,,,,
Commune,,,,,,
Commune with Nature,,,,,,
Compelled Duel,,,wisdom,,,
Comprehend Languages,,,,,,
Compulsion,,,,,,
Cone of Cold,,,,,,
Confusion,,,,,,
Conjure Animals,,,,,,
Conjure Barrage,,,,,,
Conjure Celestial,,,,,,
Conjure Elemental,,,,,,
Conjure Fey,,,,,,
Conjure Minor Elementals,,,,,,
Conjure Volley,,,,,,
Conjure Woodland Beings,,,,,,
Contact Other Plane,,,,,,
Contagion,,,,,,
Contingency,,,,,,
Continual Flame,,,,,,
Control Water,,,,,,
Control Weather,,,,,,
Cordon of Arrows,,,,,,
Counterspell,,,,,,
Create Food and Water,,,,,,
Create or Destroy Water,,,,,,
Create Undead,,,,,,
Creation,,,,,,
Crown of Madness,,,,,,
Crusader's Mantle,,,,,,
Cure Wounds,,,,,,
Dancing Lights,,,,,,
Darkness,,,,,,
Darkvision,,,,,,
Daylight,,,,,,
Death Ward,,,,,,
Delayed Blast Fireball,,,,,,
Demiplane,,,,,,
Destructive Wave,,,,,,
Detect Evil and Good,,,,,,
Detect Magic,,,,,,
Detect Poison and Disease,,,,,,
Detect Thoughts,,,,,,
Dimension Door,,,,,,
Disguise Self,,,,,,
Disintegrate,,,,,,
Dispel Evil and Good,,,,,,
Dispel Magic,,,,,,
Dissonant Whispers,,,,,,
Divination,,,,,,
Divine Favor,,,,,,
Divine Word,,,,,,
Dominate Beast,,,,,,
Dominate Monster,,,,,,
Dominate Person,,,,,,
Drawmij's Instant Summons,,,,,,
Dream,,,,,,
Druidcraft,,,,,,
Earthquake,,,,,,
Eldritch Blast,,,,,,
Elemental Weapon,,,,,,
Enhance Ability,,,,,,
Enlarge/Reduce,,,,,,
Ensnaring Strike,,,,,,
Entangle,,,,,,
Enthrall,,,,,,
Etherealness,,,,,,
Evard's Black Tentacles,,,,,,
Expeditious Retreat,,,,,,
Eyebite,,,,,,
Fabricate,,,,,,
Faerie Fire,,,,,,
False Life,,,,,,
Fear,,,,,,
Feather Fall,,,,,,
Feeblemind,,,,,,
Feign Death,,,,,,
Find Familiar,,,,,,
Find Steed,,,,,,
Find the Path,,,,,,
Find Traps,,,,,,
Finger of Death,,,,,,
Fire Bolt,,,,,,
Fire Shield,,,,,,
Fire Storm,,,,,,
Fireball,,,,,,
Flame Blade,,,,,,
Flame Strike,,,,,,
Flaming Sphere,,,,,,
Flesh to Stone,,,,,,
Fly,,,,,,
Fog Cloud,,,,,,
Forbiddance,,,,,,
Forcecage,,,,,,
Foresight,,,,,,
Freedom of Movement,,,,,,
Friends,,,,,,
Gaseous Form,,,,,,
Gate,,,,,,
Geas,,,,,,
Gentle Repose,,,,,,
Giant Insect,,,,,,
Glibness,,,,,,
Globe of Invulnerability,,,,,,
Glyph of Warding,,,,,,
Goodberry,,,,,,
Grasping Vine,,,,,,
Grease,,,,,,
Greater Invisibility,,,,,,
Greater Restoration,,,,,,
Guardian of Faith,,,,,,
Guards and Wards,,,,,,
Guidance,,,,,,
Guiding Bolt,,,,,,
Gust of Wind,,,,,,
Hail of Thorns,,,,,,
Hallow,,,,,,
Hallucinatory Terrain,,,,,,
Harm,,,,,,
Haste,,,,,,
Heal,,,,,,
Healing Word,,,,,,
Heat Metal,,,,,,
Hellish Rebuke,,,,,,
Heroes' Feast,,,,,,
Heroism,,,,,,
Hex,,,,,,
Hold Monster,,,,,,
Hold Person,,,,,,
Holy Aura,,,,,,
Hunger of Hadar,,,,,,
Hunter's Mark,,,,,,
Hypnotic Pattern,,,,,,
Ice Storm,,4d6 [cold],,,,
Ice Storm,,basicNd8 [bludgeoning],dexterity,2,,
Identify,,,,,,
Illusory Script,,,,,,
Imprisonment,,,,,,
Incendiary Cloud,,,,,,
Inflict Wounds,,,,,,
Insect Plague,,,,,,
Invisibility,,,,,,
Jump,,,,,,
Knock,,,,,,
Legend Lore,,,,,,
Leomund's Secret Chest,,,,,,
Leomund's Tiny Hut,,,,,,
Lesser Restoration,,,,,,
Levitate,,,,,,
Light,,,,,,
Lightning Arrow,,,,,,
Lightning Bolt,,,,,,
Locate Animals or Plants,,,,,,
Locate Creature,,,,,,
Locate Object,,,,,,
Longstrider,,,,,,
Mage Armor,,,,,,
Mage Hand,,,,,,
Magic Circle,,,,,,
Magic Jar,,,,,,
Magic Missile,,,,,,
Magic Mouth,,,,,,
Magic Weapon,,,,,,
Major Image,,,,,,
Mass Cure Wounds,,,,,,
Mass Heal,,,,,,
Mass Healing Word,,,,,,
Mass Suggestion,,,,,,
Maze,,,,,,
Meld into Stone,,,,,,
Melf's Acid Arrow,,,,,,
Mending,,,,,,
Message,,,,,,
Meteor Swarm,,,,,,
Mind Blank,,,,,,
Minor Illusion,,,,,,
Mirage Arcane,,,,,,
Mirror Image,,,,,,
Mislead,,,,,,
Misty Step,,,,,,
Modify Memory,,,,,,
Moonbeam,,,,,,
Mordenkainen's Faithful Hound,,,,,,
Mordenkainen's Magnificent Mansion,,,,,,
Mordenkainen's Private Sanctum,,,,,,
Mordenkainen's Sword,,,,,,
Move Earth,,,,,,
Nondetection,,,,,,
Nystul's Magic Aura,,,,,,
Otiluke's Freezing Sphere,,,,,,
Otiluke's Resilient Sphere,,,,,,
Otto's Irresistible Dance,,,,,,
Pass without Trace,,,,,,
Passwall,,,,,,
Phantasmal Force,,,,,,
Phantasmal Killer,,,,,,
Phantom Steed,,,,,,
Planar Ally,,,,,,
Planar Binding,,,,,,
Plane Shift,,,,,,
Plant Growth,,,,,,
Poison Spray,,,,,,
Polymorph,,,,,,
Power Word Heal,,,,,,
Power Word Kill,,,,,,
Power Word Stun,,,,,,
Prayer of Healing,,,,,,
Prestidigitation,,,,,,
Prismatic Spray,,,,,,
Prismatic Wall,,,,,,
Produce Flame,,,,,,
Programmed Illusion,,,,,,
Project Image,,,,,,
Protection from Energy,,,,,,
Protection from Evil and Good,,,,,,
Protection from Poison,,,,,,
Purify Food and Drink,,,,,,
Raise Dead,,,,,,
Rary's Telepathic Bond,,,,,,
Ray of Enfeeblement,,,,,,
Ray of Frost,,,,,,
Ray of Sickness,,,,,,
Regenerate,,,,,,
Reincarnate,,,,,,
Remove Curse,,,,,,
Resistance,,,,,,
Resurrection,,,,,,
Reverse Gravity,,,,,,
Revivify,,,,,,
Rope Trick,,,,,,
Sacred Flame,,,,,,
Sanctuary,,,,,,
Scorching Ray,TRUE,2d6 [fire],,,,3 + s - 2
Scrying,,,,,,
Searing Smite,,,,,,
See Invisibility,,,,,,
Seeming,,,,,,
Sending,,,,,,
Sequester,,,,,,
Shapechange,,,,,,
Shatter,,,,,,
Shield,,,,,,
Shield of Faith,,,,,,
Shillelagh,,,,,,
Shocking Grasp,,,,,,
Silence,,,,,,
Silent Image,,,,,,
Simulacrum,,,,,,
Sleep,,,,,,
Sleet Storm,,,,,,
Slow,,,,,,
Spare the Dying,,,,,,
Speak with Animals,,,,,,
Speak with Dead,,,,,,
Speak with Plants,,,,,,
Spider Climb,,,,,,
Spike Growth,,,,,,
Spirit Guardians,,,,,,
Spiritual Weapon,,,,,,
Staggering Smite,,,,,,
Stinking Cloud,,,,,,
Stone Shape,,,,,,
Stoneskin,,,,,,
Storm of Vengeance,,,,,,
Suggestion,,,,,,
Sunbeam,,,,,,
Sunburst,,,,,,
Swift Quiver,,,,,,
Symbol,,,,,,
Tasha's Hideous Laughter,,,,,,
Telekinesis,,,,,,
Telepathy,,,,,,
Teleport,,,,,,
Teleportation Circle,,,,,,
Tenser's Floating Disk,,,,,,
Thaumaturgy,,,,,,
Thorn Whip,,,,,,
Thunderous Smite,,,,,,
Thunderwave,,,,,,
Time Stop,,,,,,
Tongues,,,,,,
Transport via Plants,,,,,,
Tree Stride,,,,,,
True Polymorph,,,,,,
True Resurrection,,,,,,
True Seeing,,,,,,
True Strike,,,,,,
Tsunami,,,,,,
Unseen Servant,,,,,,
Vampiric Touch,,,,,,
Vicious Mockery,,,,,,
Wall of Fire,,,,,,
Wall of Force,,,,,,
Wall of Ice,,,,,,
Wall of Stone,,,,,,
Wall of Thorns,,,,,,
Warding Bond,,,,,,
Water Breathing,,,,,,
Water Walk,,,,,,
Web,,,,,,
Weird,,,,,,
Wind Walk,,,,,,
Wind Wall,,,,,,
Wish,,,,,,
Witch Bolt,,,,,,
Word of Recall,,,,,,
Wrathful Smite,,,,,,
Zone of Truth,,,,,,